handle,month,tweet_count,average_score,average_magnitude
AfD_Bayern,01/2016,2,0.25,0.25
AfD_Bayern,08/2015,1,0.20000000298023224,0.5
AfD_Bayern,09/2014,1,0.20000000298023224,0.20000000298023224
AfD_Bayern,03/2014,1,-0.30000001192092896,0.30000001192092896
AfD_Bayern,12/2013,2,0.20000000298023224,0.20000000298023224
AfD_Bayern,08/2013,3,0.26666666318972904,0.36666666716337204
AfDBerlin,12/2020,1,0.0,0.8999999761581421
AfDBerlin,11/2020,4,0.17500000447034836,2.124999947845936
AfDBerlin,10/2020,2,-0.30000000447034836,0.5000000149011612
AfDBerlin,09/2020,3,0.1333333378036817,0.40000000844399136
AfDBerlin,08/2020,7,0.15714286054883683,0.5142857272710118
AfDBerlin,07/2020,1,0.0,0.0
AfDBerlin,05/2020,1,0.0,0.10000000149011612
