handle,month,tweet_count
JoanaCotar,12/2019,4
JoanaCotar,11/2019,2
JoanaCotar,10/2019,3
JoanaCotar,09/2019,4
JoanaCotar,08/2019,3
JoanaCotar,07/2019,4
JoanaCotar,06/2019,7
JoanaCotar,05/2019,5
JoanaCotar,04/2019,5
JoanaCotar,03/2019,4
JoanaCotar,02/2019,3
JoanaCotar,01/2019,4
JoanaCotar,12/2018,2
JoanaCotar,11/2018,24
JoanaCotar,10/2018,8
JoanaCotar,09/2018,11
JoanaCotar,08/2018,11
JoanaCotar,07/2018,12
JoanaCotar,06/2018,14
JoanaCotar,05/2018,10
JoanaCotar,04/2018,9
JoanaCotar,03/2018,11
JoanaCotar,02/2018,5
JoanaCotar,01/2018,20
JoanaCotar,12/2017,9
JoanaCotar,11/2017,10
JoanaCotar,10/2017,5
JoanaCotar,09/2017,6
JoanaCotar,08/2017,13
JoanaCotar,07/2017,20
JoanaCotar,06/2017,7
JoanaCotar,05/2017,2
JoanaCotar,03/2017,2
JoanaCotar,02/2017,1
JoanaCotar,01/2017,8
andreasbleckmdb,12/2020,3
andreasbleckmdb,06/2020,2
andreasbleckmdb,02/2020,3
andreasbleckmdb,11/2019,1
andreasbleckmdb,11/2018,1
andreasbleckmdb,10/2018,1
andreasbleckmdb,08/2018,2
andreasbleckmdb,07/2018,7
andreasbleckmdb,06/2018,11
andreasbleckmdb,05/2018,6
andreasbleckmdb,04/2018,10
andreasbleckmdb,03/2018,5
andreasbleckmdb,02/2018,2
andreasbleckmdb,01/2018,14
andreasbleckmdb,12/2017,7
andreasbleckmdb,11/2017,14
andreasbleckmdb,10/2017,6
andreasbleckmdb,09/2017,1
JuergenBraunAfD,12/2020,11
JuergenBraunAfD,11/2020,19
JuergenBraunAfD,10/2020,37
JuergenBraunAfD,09/2020,15
JuergenBraunAfD,08/2020,9
JuergenBraunAfD,07/2020,10
JuergenBraunAfD,06/2020,20
JuergenBraunAfD,05/2020,5
JuergenBraunAfD,04/2020,8
JuergenBraunAfD,03/2020,28
JuergenBraunAfD,02/2020,17
JuergenBraunAfD,01/2020,8
JuergenBraunAfD,12/2019,12
JuergenBraunAfD,11/2019,11
JuergenBraunAfD,10/2019,21
JuergenBraunAfD,09/2019,18
JuergenBraunAfD,08/2019,11
JuergenBraunAfD,07/2019,11
Buettner_MdB,11/2020,2
Buettner_MdB,09/2020,1
Buettner_MdB,06/2020,2
Buettner_MdB,05/2020,1
Buettner_MdB,04/2020,1
Buettner_MdB,01/2020,2
Buettner_MdB,11/2019,4
Buettner_MdB,10/2019,3
Buettner_MdB,09/2019,1
Buettner_MdB,08/2019,1
Buettner_MdB,04/2019,1
Buettner_MdB,03/2019,1
Buettner_MdB,02/2019,1
Buettner_MdB,12/2018,1
Buettner_MdB,11/2018,5
Buettner_MdB,04/2018,1
Buettner_MdB,02/2018,5
Buettner_MdB,01/2018,1
Buettner_MdB,12/2017,13
Buettner_MdB,11/2017,3
Buettner_MdB,09/2017,2
Buettner_MdB,08/2017,1
Buettner_MdB,07/2017,1
ElsnervonGronow,11/2020,6
ElsnervonGronow,10/2020,20
ElsnervonGronow,09/2020,8
ElsnervonGronow,07/2020,1
ElsnervonGronow,06/2020,8
ElsnervonGronow,05/2020,5
ElsnervonGronow,04/2020,8
ElsnervonGronow,03/2020,17
ElsnervonGronow,02/2020,6
ElsnervonGronow,01/2020,8
ElsnervonGronow,12/2019,3
ElsnervonGronow,11/2019,8
ElsnervonGronow,10/2019,9
ElsnervonGronow,09/2019,8
ElsnervonGronow,08/2019,2
ElsnervonGronow,07/2019,7
ElsnervonGronow,06/2019,9
ElsnervonGronow,05/2019,16
ElsnervonGronow,04/2019,5
ElsnervonGronow,03/2019,18
ElsnervonGronow,02/2019,12
ElsnervonGronow,01/2019,6
ElsnervonGronow,12/2018,17
ElsnervonGronow,11/2018,16
ElsnervonGronow,10/2018,9
ElsnervonGronow,09/2018,11
ElsnervonGronow,08/2018,1
ElsnervonGronow,07/2018,5
ElsnervonGronow,06/2018,4
ElsnervonGronow,05/2018,3
ElsnervonGronow,04/2018,4
ElsnervonGronow,03/2018,11
ElsnervonGronow,02/2018,13
ElsnervonGronow,01/2018,26
ElsnervonGronow,12/2017,4
ElsnervonGronow,11/2017,11
ElsnervonGronow,10/2017,8
ElsnervonGronow,09/2017,9
ElsnervonGronow,08/2017,5
ElsnervonGronow,07/2017,3
SteffenKotre,11/2020,2
SteffenKotre,10/2020,1
SteffenKotre,09/2020,3
SteffenKotre,08/2020,4
SteffenKotre,07/2020,3
SteffenKotre,02/2020,1
SteffenKotre,12/2019,1
SteffenKotre,11/2019,3
SteffenKotre,10/2019,1
SteffenKotre,09/2019,1
SteffenKotre,01/2019,1
SteffenKotre,12/2018,2
SteffenKotre,11/2018,6
SteffenKotre,10/2018,1
SteffenKotre,09/2018,1
SteffenKotre,07/2018,1
SteffenKotre,06/2018,1
SteffenKotre,05/2018,4
SteffenKotre,04/2018,1
SteffenKotre,03/2018,3
SteffenKotre,02/2018,2
SteffenKotre,01/2018,3
SteffenKotre,12/2017,3
SteffenKotre,11/2017,1
Gerold_Otten,12/2020,1
Gerold_Otten,11/2020,2
Gerold_Otten,10/2020,4
Gerold_Otten,09/2020,3
Gerold_Otten,06/2020,2
Gerold_Otten,09/2019,1
Gerold_Otten,06/2019,1
Gerold_Otten,05/2019,1
