handle,month,tweet_count,score,magnitude
AfD_Bayern,01/2017,8,0.10000000149011612,4.400000095367432
AfD_Bayern,12/2016,10,0.10000000149011612,5.199999809265137
AfD_Bayern,11/2016,5,0.10000000149011612,2.5
AfD_Bayern,10/2016,5,0.20000000298023224,3.0
AfD_Bayern,09/2016,9,0.20000000298023224,6.599999904632568
AfD_Bayern,08/2016,9,0.10000000149011612,4.099999904632568
AfD_Bayern,07/2016,6,0.0,3.5
AfD_Bayern,06/2016,14,0.20000000298023224,8.300000190734863
AfD_Bayern,05/2016,23,0.20000000298023224,10.699999809265137
AfD_Bayern,04/2016,8,0.10000000149011612,2.9000000953674316
AfD_Bayern,03/2016,6,0.30000001192092896,4.199999809265137
AfD_Bayern,02/2016,4,0.0,2.799999952316284
AfD_Bayern,01/2016,3,0.4000000059604645,2.200000047683716
